simple_prompt,detailed_cot_prompt,cot_prompt,arabic_prompt
bug_report,bug_report,bug_report,bug_report
rating,rating,others,تقييم.
bug_report,others,bug_report,ليش
bug_report,bug_report,bug_report,bug_report
rating,rating,rating,rating
bug_report,bug_report,bug_report,bug_report
bug_report,bug_report,bug_report,تقرير_مشكلة.
rating.,rating,rating,rating
others,others,others,bug_report
rating,rating,rating,rating
improvement_request.,improvement_request,improvement_request,improvement_request
bug_report,bug_report.,bug_report,bug_report
improvement_request,improvement_request,improvement_request,rating
rating,rating,rating,rating
bug_report,bug_report,bug_report,bug_report
rating.,rating,rating,rating
improvement_request.,improvement_request,improvement_request,improvement_request
rating,rating,rating,تقييم.
bug_report,bug_report,bug_report,bug_report
bug_report,bug_report,bug_report,bug_report
rating,rating,rating,rating
bug_report,bug_report,bug_report,bug_report
bug_report,bug_report,bug_report,bug_report
bug_report,bug_report,bug_report,bug_report
improvement_request,improvement_request,improvement_request,improvement_request
bug_report,bug_report,bug_report,bug_report
bug_report,others,bug_report,bug_report
improvement_request,improvement_request,improvement_request,bug_report
others,rating,rating,rating
bug_report,bug_report,bug_report,bug_report
rating,rating,rating,rating
rating,rating,rating,rating
bug_report,bug_report.,bug_report,bug_report
improvement_request,improvement_request,bug_report,improvement_request
bug_report,improvement_request,bug_report,improvement_request
bug_report,bug_report,bug_report,bug_report
bug_report,improvement_request,bug_report,rating
rating,rating,rating,rating
rating,rating,rating,rating
rating,rating,rating,rating
rating,rating,rating,rating
bug_report,bug_report,bug_report,bug_report
rating,others,others,rating
bug_report,bug_report,bug_report,bug_report
improvement_request,improvement_request,improvement_request,improvement_request
improvement_request,improvement_request,improvement_request,improvement_request
bug_report,bug_report,bug_report,bug_report
rating.,rating,bug_report,rating
improvement_request,improvement_request,improvement_request,rating
bug_report.,bug_report.,bug_report,bug_report
others,rating,others,rating
improvement_request,rating,improvement_request,bug_report
rating,rating,bug_report,rating
rating,rating,rating,rating
rating,bug_report,others,bug_report
improvement_request,improvement_request,improvement_request,bug_report
bug_report,bug_report,bug_report,improvement_request
bug_report,bug_report,bug_report,bug_report
bug_report,rating,bug_report,bug_report
bug_report.,bug_report,bug_report,bug_report
bug_report.,bug_report,bug_report,وتقرير_مشكلة.
bug_report,bug_report,bug_report,bug_report
improvement_request,improvement_request,improvement_request,الفئة.
others,others,others,rating
bug_report,bug_report,bug_report,bug_report
bug_report,bug_report,bug_report,bug_report
rating,rating,others,rating
bug_report,improvement_request,bug_report,تقرير_مشكلة.
bug_report,bug_report,bug_report,تقرير_مشكلة.
rating,rating,others,rating
rating,rating.,others,rating
improvement_request,improvement_request,improvement_request,improvement_request
improvement_request,improvement_request,improvement_request,improvement_request
bug_report,improvement_request,bug_report,improvement_request
improvement_request,improvement_request,improvement_request,improvement_request
bug_report,bug_report,bug_report,bug_report
bug_report,bug_report,bug_report,bug_report
improvement_request,improvement_request,bug_report,improvement_request
improvement_request,rating,improvement_request,bug_report
bug_report,bug_report,bug_report,bug_report
bug_report,**bug_report**.,bug_report,bug_report
bug_report,bug_report,bug_report,تقرير_مشكلة.
improvement_request,improvement_request,improvement_request,improvement_request
bug_report,bug_report,bug_report,تقرير_مشكلة.
bug_report,bug_report,bug_report,bug_report
bug_report,others,bug_report,تقرير_مشكلة.
rating,rating,rating,rating
bug_report,bug_report,bug_report,bug_report
rating,rating,rating,rating
others,others,others,rating
improvement_request.,improvement_request,improvement_request,improvement_request
bug_report,bug_report.,bug_report,bug_report
bug_report,improvement_request.,bug_report,improvement_request
others,others,others,rating
bug_report,bug_report,improvement_request,bug_report
bug_report,rating,bug_report,bug_report
improvement_request,improvement_request,improvement_request,improvement_request
bug_report,bug_report.,bug_report,bug_report
rating,rating,rating,rating
bug_report,rating.,improvement_request,bug_report
